what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1362589600404
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1362589600432
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1362589600437
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1362589600454
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1362589600455
os,sysinfo,,,"linux",1362589600483
arch,sysinfo,,,"x86",1362589600483
ws,sysinfo,,,"gtk",1362589600483
locale,sysinfo,,,"en_US",1362589600483
processors,sysinfo,,,"1",1362589600483
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1362589600483
java.runtime.version,sysinfo,,,"1.6.0_39-b04",1362589600483
java.specification.name,sysinfo,,,"Java Platform API Specification",1362589600483
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1362589600483
java.specification.version,sysinfo,,,"1.6",1362589600483
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1362589600483
java.version,sysinfo,,,"1.6.0_39",1362589600483
java.vm.info,sysinfo,,,"mixed mode",1362589600483
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1362589600483
